MODEL,SCENARIO,REGION,,,
GCAM4,SSP5-Baseline,World,,,
UNIT,billions/million,million,EJ/billion,GtC/EJ,
YEARS,GDP/Pop,Population,Ener/GDP,Emiss/Ener,Emissions|CO2
2215,111.7011789,3235.9799,0.001878105,0.016554977,9.938595827
2216,110.7851444,3172.09476,0.001889831,0.016524928,9.654635946
2217,109.8314543,3108.20962,0.001902246,0.016493516,9.370676065
2218,108.8377377,3044.32448,0.001915413,0.016460644,9.086716185
2219,107.8014209,2980.43934,0.001929404,0.016426209,8.802756304
2220,106.7197045,2916.5542,0.001944298,0.016390097,8.518796423
2221,105.5895383,2852.66906,0.001960184,0.016352182,8.234836542
2222,104.4075927,2788.78392,0.001977167,0.016312326,7.950876662
2223,103.1702257,2724.89878,0.001995362,0.016270375,7.666916781
2224,101.8734458,2661.01364,0.002014906,0.01622616,7.3829569
2225,100.5128685,2597.1285,0.002035953,0.016179493,7.098997019
2226,99.08366719,2533.24336,0.002058684,0.016130163,6.815037138
2227,97.58051571,2469.35822,0.00208331,0.016077937,6.531077258
2228,95.9975221,2405.47308,0.002110078,0.016022552,6.247117377
2229,94.32815141,2341.58794,0.00213928,0.015963711,5.963157496
2230,92.56513551,2277.7028,0.002171263,0.015901081,5.679197615
2231,90.70036731,2213.81766,0.002206445,0.015834284,5.395237735
2232,88.72477611,2149.93252,0.002245331,0.015762889,5.111277854
2233,86.62818007,2086.04738,0.002288539,0.015686406,4.827317973
2234,84.39911066,2022.16224,0.002336832,0.01560427,4.543358092
2235,82.02460277,1958.2771,0.002391163,0.01551583,4.259398212
2236,79.48994242,1894.39196,0.002452739,0.015420331,3.975438331
2237,76.77836153,1830.50682,0.002523116,0.015316894,3.69147845
2238,73.87066652,1766.62168,0.002604322,0.015204485,3.407518569
2239,70.74478332,1702.73654,0.002699068,0.015081885,3.123558688
2240,67.37519592,1638.8514,0.002811047,0.014947641,2.839598808
2241,63.7322483,1574.96626,0.002945431,0.014800013,2.555638927
2242,59.78126927,1511.08112,0.003109692,0.014636892,2.271679046
2243,55.48146555,1447.19598,0.00331504,0.014455707,1.987719165
2244,50.78450806,1383.31084,0.003579093,0.014253279,1.703759285
2245,45.63270753,1319.4257,0.003931225,0.014025641,1.419799404
2246,39.95663323,1255.54056,0.004424328,0.013767771,1.135839523
2247,33.67196555,1191.65542,0.005164238,0.013473217,0.851879642
2248,26.67527897,1127.77028,0.006398107,0.013133551,0.567919762
2249,18.83830562,1063.88514,0.008868418,0.012737553,0.283959881
2250,10,1000,0.0163,0.012269939,0
2251,10,1000,0.0163,0.012269939,0
2252,10,1000,0.0163,0.012269939,0
2253,10,1000,0.0163,0.012269939,0
2254,10,1000,0.0163,0.012269939,0
2255,10,1000,0.0163,0.012269939,0
2256,10,1000,0.0163,0.012269939,0
2257,10,1000,0.0163,0.012269939,0
2258,10,1000,0.0163,0.012269939,0
2259,10,1000,0.0163,0.012269939,0
2260,10,1000,0.0163,0.012269939,0
2261,10,1000,0.0163,0.012269939,0
2262,10,1000,0.0163,0.012269939,0
2263,10,1000,0.0163,0.012269939,0
2264,10,1000,0.0163,0.012269939,0
2265,10,1000,0.0163,0.012269939,0
2266,10,1000,0.0163,0.012269939,0
2267,10,1000,0.0163,0.012269939,0
2268,10,1000,0.0163,0.012269939,0
2269,10,1000,0.0163,0.012269939,0
2270,10,1000,0.0163,0.012269939,0
