YEARS,K,GDP,pop,tfp
2252,2.641453176197312e6,1.2006615684e6,7000.0,28.926714330689848
2253,2.6414534036255805e6,1.2006615684e6,7000.0,28.926713583515653
2254,2.641453608311022e6,1.2006615684e6,7000.0,28.92671291105895
2255,2.6414537925279196e6,1.2006615684e6,7000.0,28.92671230584797
2256,2.6414539583231276e6,1.2006615684e6,7000.0,28.92671176115814
2257,2.6414541075388147e6,1.2006615684e6,7000.0,28.926711270937325
2258,2.641454241832933e6,1.2006615684e6,7000.0,28.926710829738624
2259,2.6414543626976395e6,1.2006615684e6,7000.0,28.926710432659824
2260,2.6414544714758755e6,1.2006615684e6,7000.0,28.926710075288916
2261,2.641454569376288e6,1.2006615684e6,7000.0,28.92670975365512
2262,2.641454657486659e6,1.2006615684e6,7000.0,28.926709464184718
2263,2.641454736785993e6,1.2006615684e6,7000.0,28.926709203661364
2264,2.6414548081553937e6,1.2006615684e6,7000.0,28.92670896919035
2265,2.6414548723878544e6,1.2006615684e6,7000.0,28.926708758166452
2266,2.641454930197069e6,1.2006615684e6,7000.0,28.926708568244944
2267,2.6414549822253617e6,1.2006615684e6,7000.0,28.92670839731559
2268,2.6414550290508256e6,1.2006615684e6,7000.0,28.926708243479183
2269,2.641455071193743e6,1.2006615684e6,7000.0,28.926708105026414
2270,2.6414551091223685e6,1.2006615684e6,7000.0,28.92670798041893
2271,2.6414551432581316e6,1.2006615684e6,7000.0,28.926707868272192
2272,2.6414551739803185e6,1.2006615684e6,7000.0,28.926707767340126
2273,2.6414552016302864e6,1.2006615684e6,7000.0,28.926707676501277
2274,2.6414552265152577e6,1.2006615684e6,7000.0,28.926707594746308
2275,2.641455248911732e6,1.2006615684e6,7000.0,28.926707521166836
2276,2.6414552690685587e6,1.2006615684e6,7000.0,28.92670745494531
2277,2.6414552872097027e6,1.2006615684e6,7000.0,28.926707395345943
2278,2.641455303536732e6,1.2006615684e6,7000.0,28.92670734170651
2279,2.641455318231059e6,1.2006615684e6,7000.0,28.926707293431022
2280,2.641455331455953e6,1.2006615684e6,7000.0,28.926707249983078
2281,2.6414553433583574e6,1.2006615684e6,7000.0,28.926707210879936
2282,2.6414553540705214e6,1.2006615684e6,7000.0,28.926707175687103
2283,2.6414553637114693e6,1.2006615684e6,7000.0,28.926707144013555
2284,2.6414553723883224e6,1.2006615684e6,7000.0,28.926707115507366
2285,2.64145538019749e6,1.2006615684e6,7000.0,28.926707089851792
2286,2.641455387225741e6,1.2006615684e6,7000.0,28.926707066761775
2287,2.6414553935511666e6,1.2006615684e6,7000.0,28.926707045980766
2288,2.64145539924405e6,1.2006615684e6,7000.0,28.926707027277846
2289,2.641455404367645e6,1.2006615684e6,7000.0,28.92670701044523
2290,2.6414554089788804e6,1.2006615684e6,7000.0,28.926706995295866
2291,2.641455413128992e6,1.2006615684e6,7000.0,28.926706981661447
2292,2.641455416864093e6,1.2006615684e6,7000.0,28.92670696939047
2293,2.6414554202256836e6,1.2006615684e6,7000.0,28.926706958346585
2294,2.6414554232511153e6,1.2006615684e6,7000.0,28.92670694840709
2295,2.6414554259740035e6,1.2006615684e6,7000.0,28.926706939461546
2296,2.641455428424603e6,1.2006615684e6,7000.0,28.92670693141055
2297,2.6414554306301423e6,1.2006615684e6,7000.0,28.926706924164662
2298,2.641455432615128e6,1.2006615684e6,7000.0,28.92670691764336
2299,2.641455434401615e6,1.2006615684e6,7000.0,28.92670691177419
2300,2.6414554360094536e6,1.2006615684e6,7000.0,28.926706906491933
